Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
29,No,Travel_Frequently,Sales,1,312,Female,3,Sales Executive,4,Married,7918,No,14,1,11,3,11,10,4
35,No,Travel_Frequently,Sales,1,314,Female,3,Sales Executive,3,Single,8789,No,14,0,10,4,10,7,0
29,Yes,Travel_Rarely,Research & Development,18,315,Male,1,Research Scientist,4,Single,2389,Yes,13,0,4,2,4,3,0
52,No,Travel_Rarely,Research & Development,2,316,Female,1,Laboratory Technician,4,Single,3212,No,15,0,6,2,2,2,2
42,No,Travel_Rarely,Research & Development,4,319,Male,5,Manager,4,Married,19232,No,11,0,22,3,22,17,11
59,No,Travel_Rarely,Human Resources,6,321,Male,1,Human Resources,3,Married,2267,No,17,0,7,2,2,2,2
50,No,Travel_Rarely,Sales,1,323,Female,5,Manager,4,Divorced,19517,No,11,1,32,2,7,0,0
33,Yes,Travel_Rarely,Research & Development,14,325,Male,1,Laboratory Technician,4,Married,2436,Yes,13,1,8,1,5,4,0
43,No,Travel_Rarely,Sales,16,327,Female,4,Manager,4,Married,16064,Yes,22,1,22,3,17,13,1
33,Yes,Travel_Rarely,Research & Development,2,328,Female,1,Laboratory Technician,1,Married,2707,No,20,0,13,4,9,7,1
52,No,Non-Travel,Sales,2,329,Male,5,Manager,3,Single,19068,Yes,18,0,33,4,33,7,15
32,No,Travel_Rarely,Sales,4,330,Female,1,Sales Representative,2,Married,3931,No,11,1,6,3,4,3,1
32,Yes,Travel_Rarely,Research & Development,1,331,Male,1,Laboratory Technician,3,Single,3730,Yes,14,0,4,1,3,2,1
39,No,Travel_Rarely,Research & Development,1,332,Female,1,Laboratory Technician,3,Divorced,2232,No,14,3,7,3,3,2,1
32,No,Non-Travel,Sales,26,333,Male,2,Sales Executive,4,Married,4465,No,18,0,4,3,3,2,2
41,No,Travel_Rarely,Research & Development,19,334,Male,2,Research Scientist,1,Divorced,3072,No,16,2,17,2,1,0,0
40,No,Travel_Rarely,Research & Development,24,335,Male,2,Research Scientist,4,Divorced,3319,No,17,2,9,3,9,8,4
45,No,Travel_Rarely,Research & Development,1,336,Male,5,Manager,4,Married,19202,No,11,1,25,3,24,0,1
31,No,Travel_Frequently,Research & Development,3,337,Male,3,Research Director,3,Divorced,13675,No,12,1,9,3,2,2,2
33,No,Travel_Rarely,Research & Development,5,338,Female,1,Research Scientist,4,Married,2911,No,13,1,2,2,2,2,0
34,No,Travel_Rarely,Research & Development,2,339,Male,2,Manufacturing Director,1,Married,5957,No,13,1,13,3,11,9,5
37,No,Travel_Rarely,Research & Development,1,340,Female,1,Research Scientist,1,Married,3920,No,14,1,17,2,3,1,0
45,No,Travel_Frequently,Research & Development,7,341,Male,2,Manufacturing Director,3,Married,6434,No,17,1,9,3,3,2,0
37,Yes,Travel_Frequently,Research & Development,10,342,Male,3,Manufacturing Director,3,Divorced,10048,No,11,2,17,3,1,0,0
39,No,Travel_Frequently,Research & Development,2,343,Female,3,Healthcare Representative,3,Single,10938,No,25,0,20,3,19,6,11
29,No,Travel_Rarely,Research & Development,15,346,Male,1,Research Scientist,4,Single,2340,No,19,0,6,3,6,5,1
42,No,Travel_Rarely,Research & Development,17,347,Female,2,Research Scientist,1,Single,6545,Yes,13,0,10,3,3,2,0
29,No,Travel_Rarely,Sales,20,349,Male,2,Sales Executive,4,Divorced,6931,No,14,1,10,3,3,2,0
25,No,Travel_Rarely,Research & Development,1,350,Female,2,Manufacturing Director,3,Married,4898,No,12,2,5,3,4,2,1
42,No,Travel_Rarely,Research & Development,2,351,Female,1,Laboratory Technician,1,Divorced,2593,Yes,11,1,10,3,9,6,7
40,No,Travel_Rarely,Research & Development,2,352,Male,5,Research Director,3,Divorced,19436,No,19,1,22,3,21,7,3
51,No,Travel_Rarely,Research & Development,1,353,Male,1,Research Scientist,4,Married,2723,No,11,0,1,2,1,0,0
31,Yes,Travel_Frequently,Research & Development,29,355,Male,1,Laboratory Technician,2,Single,3479,No,11,0,6,4,5,4,1
32,No,Travel_Frequently,Research & Development,7,359,Male,1,Laboratory Technician,2,Married,2794,No,20,0,5,1,5,1,0
38,No,Non-Travel,Sales,2,361,Male,2,Sales Executive,4,Married,5249,No,18,1,13,3,8,7,7
32,No,Travel_Rarely,Research & Development,2,362,Male,2,Laboratory Technician,1,Single,2176,No,13,0,9,3,6,2,0
46,No,Travel_Rarely,Sales,2,363,Female,4,Manager,2,Married,16872,Yes,12,1,28,2,7,7,7
28,Yes,Travel_Rarely,Research & Development,2,364,Male,1,Laboratory Technician,3,Single,3485,No,11,0,5,1,0,0,0
29,No,Travel_Rarely,Sales,2,366,Male,2,Sales Executive,2,Married,6644,No,19,2,10,3,0,0,0
31,No,Travel_Rarely,Research & Development,23,367,Male,2,Healthcare Representative,4,Married,5582,No,21,1,10,3,9,0,7
25,No,Non-Travel,Research & Development,5,369,Male,2,Healthcare Representative,1,Divorced,4000,No,12,2,6,3,6,3,1
45,No,Travel_Rarely,Research & Development,20,372,Male,4,Healthcare Representative,4,Married,13496,Yes,14,0,21,3,20,7,4
36,No,Travel_Rarely,Research & Development,6,373,Male,1,Laboratory Technician,4,Married,3210,No,11,1,16,3,15,13,10
55,No,Travel_Rarely,Research & Development,1,374,Male,5,Manager,1,Single,19045,Yes,14,0,37,3,36,10,4
47,Yes,Non-Travel,Research & Development,29,376,Male,3,Manager,2,Married,11849,Yes,12,1,10,2,10,7,9
28,No,Travel_Rarely,Research & Development,9,377,Male,1,Research Scientist,4,Married,2070,No,23,1,5,2,5,2,0
37,No,Travel_Rarely,Sales,6,378,Male,2,Sales Executive,4,Married,6502,No,14,1,7,4,5,4,0
21,No,Travel_Rarely,Research & Development,3,379,Male,1,Research Scientist,3,Single,3230,No,17,0,3,4,3,2,1
37,No,Non-Travel,Research & Development,1,380,Female,3,Research Director,4,Divorced,13603,Yes,18,2,15,3,5,2,0
35,No,Travel_Rarely,Research & Development,22,381,Female,3,Manager,2,Divorced,11996,No,18,1,10,2,7,7,6
38,No,Travel_Rarely,Sales,7,382,Female,2,Sales Executive,1,Divorced,5605,Yes,24,1,8,3,8,0,7
26,No,Travel_Frequently,Research & Development,1,384,Female,2,Manufacturing Director,2,Divorced,6397,No,20,1,6,1,6,5,1
50,No,Travel_Rarely,Research & Development,4,385,Male,5,Research Director,2,Divorced,19144,No,14,2,28,2,10,4,1
53,No,Travel_Rarely,Research & Development,3,386,Male,4,Research Director,3,Married,17584,Yes,16,3,21,2,5,3,1
42,No,Travel_Rarely,Sales,1,387,Male,2,Sales Executive,3,Married,4907,No,25,0,20,3,20,16,11
29,No,Travel_Frequently,Sales,2,388,Male,2,Sales Executive,4,Single,4554,No,18,0,10,2,10,7,0
55,No,Travel_Rarely,Research & Development,20,389,Male,2,Laboratory Technician,4,Married,5415,Yes,19,1,12,3,10,7,0
26,No,Travel_Frequently,Research & Development,11,390,Male,2,Healthcare Representative,1,Married,4741,Yes,13,1,5,3,5,3,3
37,No,Travel_Rarely,Research & Development,1,391,Female,1,Research Scientist,4,Single,2115,No,12,0,17,3,17,12,5
44,Yes,Travel_Frequently,Research & Development,24,392,Male,1,Laboratory Technician,3,Divorced,3161,Yes,22,1,19,1,1,0,0
38,No,Travel_Rarely,Research & Development,23,393,Male,2,Healthcare Representative,4,Divorced,5745,No,14,1,10,3,2,2,1
26,Yes,Travel_Rarely,Research & Development,16,394,Male,1,Laboratory Technician,2,Divorced,2373,Yes,13,1,5,3,3,2,0
28,No,Travel_Rarely,Research & Development,8,395,Female,1,Research Scientist,4,Single,3310,No,21,0,5,3,5,3,0
49,No,Travel_Frequently,Research & Development,10,396,Female,5,Research Director,1,Single,18665,Yes,11,0,22,3,3,2,1
36,No,Travel_Rarely,Research & Development,3,397,Male,2,Research Scientist,2,Single,4485,No,12,0,10,3,8,0,7
31,No,Travel_Frequently,Sales,5,399,Female,1,Sales Representative,2,Divorced,2789,No,11,1,2,2,2,2,2
26,Yes,Travel_Rarely,Sales,4,401,Male,2,Sales Executive,4,Single,5828,Yes,12,0,8,3,8,7,7
37,No,Travel_Frequently,Research & Development,9,403,Male,1,Research Scientist,4,Married,2326,Yes,12,3,4,2,4,2,1
42,No,Travel_Frequently,Sales,26,404,Female,4,Sales Executive,2,Married,13525,No,14,1,23,4,20,4,4
18,Yes,Travel_Rarely,Research & Development,3,405,Male,1,Laboratory Technician,3,Single,1420,No,13,0,0,3,0,0,0
35,No,Travel_Rarely,Sales,16,406,Male,3,Sales Executive,2,Married,8020,No,15,2,12,2,11,9,6
36,No,Travel_Frequently,Research & Development,18,407,Male,1,Laboratory Technician,4,Married,3688,No,18,2,4,3,1,0,0
51,No,Travel_Rarely,Research & Development,2,408,Male,2,Manufacturing Director,2,Divorced,5482,No,18,1,13,3,4,1,1
41,No,Travel_Rarely,Sales,2,410,Male,4,Manager,2,Single,16015,No,19,0,22,3,22,10,0
18,No,Travel_Rarely,Sales,10,411,Female,1,Sales Representative,3,Single,1200,No,12,0,0,3,0,0,0
28,No,Travel_Rarely,Research & Development,16,412,Male,2,Healthcare Representative,1,Single,5661,No,19,0,9,3,8,3,0
31,No,Travel_Rarely,Sales,7,416,Male,2,Sales Executive,4,Married,6929,No,11,1,10,2,8,7,7
39,No,Travel_Rarely,Research & Development,1,417,Male,3,Healthcare Representative,4,Divorced,9613,No,17,3,19,2,18,10,3
36,No,Non-Travel,Research & Development,24,419,Female,2,Laboratory Technician,2,Married,5674,No,15,1,11,3,9,8,0
32,No,Travel_Rarely,Sales,7,420,Male,2,Sales Executive,3,Married,5484,No,14,1,13,2,13,8,4
38,No,Travel_Rarely,Research & Development,25,421,Female,3,Research Director,2,Married,12061,No,17,1,19,3,10,8,0
58,No,Non-Travel,Research & Development,1,422,Male,2,Healthcare Representative,3,Divorced,5660,Yes,13,1,12,3,5,3,1
31,No,Travel_Rarely,Research & Development,5,423,Male,1,Research Scientist,4,Married,4821,Yes,12,1,6,3,5,2,0
31,No,Travel_Rarely,Human Resources,2,424,Male,2,Human Resources,1,Married,6410,No,12,0,9,3,2,2,1
45,No,Travel_Frequently,Research & Development,7,425,Male,3,Laboratory Technician,1,Divorced,5210,No,18,1,24,3,24,9,9
31,No,Travel_Rarely,Research & Development,2,426,Male,1,Research Scientist,4,Divorced,2695,Yes,18,1,3,1,2,2,2
33,No,Travel_Frequently,Research & Development,5,428,Female,3,Manager,2,Married,11878,No,11,2,12,3,10,6,8
39,No,Travel_Rarely,Research & Development,10,429,Male,4,Manager,1,Married,17068,Yes,14,0,21,3,21,9,11
43,No,Travel_Frequently,Research & Development,10,430,Female,1,Laboratory Technician,4,Single,2455,No,19,0,9,3,8,7,1
49,No,Travel_Rarely,Research & Development,1,431,Female,4,Healthcare Representative,3,Single,13964,Yes,12,0,25,3,7,1,0
52,Yes,Travel_Rarely,Research & Development,8,433,Male,2,Research Scientist,2,Married,4941,No,15,0,11,2,8,2,7
27,No,Travel_Rarely,Research & Development,5,434,Female,1,Research Scientist,2,Single,2478,Yes,12,0,4,2,4,3,1
32,No,Travel_Rarely,Sales,8,436,Female,2,Sales Executive,2,Married,5228,Yes,11,0,13,3,13,12,11
27,No,Travel_Rarely,Sales,2,437,Male,2,Sales Executive,3,Single,4478,Yes,11,0,5,3,5,4,0
31,No,Travel_Rarely,Sales,7,438,Male,2,Sales Executive,4,Divorced,7547,No,12,3,13,3,7,7,1
32,No,Travel_Rarely,Research & Development,2,439,Female,2,Research Scientist,4,Single,5055,No,16,0,10,2,7,7,0
28,Yes,Travel_Rarely,Research & Development,2,440,Male,1,Research Scientist,4,Married,3464,Yes,13,0,5,2,3,2,2
30,No,Travel_Rarely,Research & Development,28,441,Female,2,Research Scientist,4,Married,5775,No,13,2,11,3,10,8,1
31,No,Travel_Frequently,Research & Development,7,442,Female,3,Manufacturing Director,3,Married,8943,No,24,1,10,3,10,9,8
39,No,Travel_Frequently,Research & Development,7,444,Male,5,Manager,4,Married,19272,No,15,1,21,3,21,9,13
39,Yes,Travel_Rarely,Sales,3,445,Female,2,Sales Executive,3,Married,5238,Yes,18,0,12,2,1,0,0
33,No,Travel_Frequently,Sales,10,446,Male,2,Sales Executive,4,Single,4682,No,14,0,9,2,7,7,0
47,No,Travel_Rarely,Research & Development,5,447,Male,5,Research Director,3,Married,18300,No,11,1,21,3,3,2,1
43,No,Travel_Frequently,Research & Development,10,448,Female,2,Laboratory Technician,3,Divorced,5257,No,11,1,9,4,9,7,0
27,No,Non-Travel,Sales,1,449,Male,2,Sales Executive,2,Married,6349,Yes,13,1,6,3,5,4,1
54,No,Travel_Frequently,Research & Development,20,450,Female,2,Research Scientist,3,Single,4869,No,12,0,20,2,4,3,0
43,No,Travel_Rarely,Research & Development,7,451,Female,3,Healthcare Representative,1,Married,9985,No,16,1,10,2,1,0,0
45,No,Travel_Rarely,Research & Development,8,452,Male,2,Research Scientist,4,Married,3697,No,14,2,12,3,10,9,9
40,No,Travel_Rarely,Sales,1,453,Male,2,Sales Executive,4,Married,7457,Yes,22,3,6,2,4,3,0
29,Yes,Travel_Rarely,Research & Development,8,454,Male,1,Laboratory Technician,1,Married,2119,Yes,11,0,7,2,7,7,0
29,No,Travel_Rarely,Research & Development,9,455,Male,1,Laboratory Technician,4,Single,3983,No,17,0,4,3,3,2,2
30,No,Travel_Rarely,Sales,5,456,Female,2,Sales Executive,3,Divorced,6118,No,13,3,10,3,10,9,1
27,No,Travel_Rarely,Sales,8,458,Female,2,Sales Executive,2,Married,6214,No,18,1,8,3,8,7,0
37,No,Travel_Rarely,Research & Development,5,460,Male,2,Manufacturing Director,4,Divorced,6347,No,16,2,8,2,6,2,0
38,No,Travel_Rarely,Research & Development,15,461,Male,3,Research Director,4,Divorced,11510,Yes,14,1,12,3,11,10,2
31,No,Travel_Rarely,Research & Development,7,462,Female,3,Manufacturing Director,4,Single,7143,Yes,14,0,11,2,11,9,4
29,No,Travel_Rarely,Sales,10,463,Female,2,Sales Executive,2,Divorced,8268,Yes,14,2,7,3,7,7,1
35,No,Travel_Rarely,Research & Development,5,464,Male,3,Manufacturing Director,2,Single,8095,No,13,0,17,3,16,6,0
23,No,Travel_Rarely,Research & Development,26,465,Male,1,Research Scientist,4,Divorced,2904,No,12,2,4,2,4,2,0
41,No,Travel_Rarely,Research & Development,6,466,Male,2,Manufacturing Director,2,Single,6032,Yes,15,0,8,3,5,4,1
47,No,Travel_Frequently,Sales,4,467,Male,2,Sales Representative,3,Single,2976,No,19,0,5,3,0,0,0
42,No,Travel_Rarely,Research & Development,23,468,Female,4,Research Director,4,Single,15992,No,14,0,16,3,1,0,0
29,No,Non-Travel,Sales,2,469,Male,2,Sales Executive,3,Married,4649,No,14,1,4,2,4,3,0
42,No,Travel_Rarely,Human Resources,2,470,Male,1,Human Resources,3,Divorced,2696,Yes,11,1,4,3,3,2,1
32,No,Travel_Rarely,Research & Development,2,471,Female,1,Laboratory Technician,2,Married,2370,No,13,1,8,3,8,0,0
48,No,Travel_Rarely,Sales,29,473,Female,3,Manager,3,Married,12504,No,21,1,15,1,0,0,0
37,No,Travel_Rarely,Research & Development,6,474,Male,2,Research Scientist,1,Divorced,5974,Yes,13,2,13,3,7,7,6
30,No,Non-Travel,Sales,25,475,Female,2,Sales Executive,3,Married,4736,Yes,12,1,4,4,2,2,2
26,No,Travel_Rarely,Sales,1,476,Male,2,Sales Executive,3,Married,5296,No,17,1,8,3,8,7,7
42,No,Travel_Rarely,Research & Development,2,477,Male,2,Healthcare Representative,4,Single,6781,No,23,0,14,3,1,0,0
21,Yes,Travel_Frequently,Sales,1,478,Female,1,Sales Representative,2,Single,2174,Yes,11,0,3,3,3,2,1
36,No,Non-Travel,Sales,1,479,Female,2,Sales Executive,4,Single,6653,No,15,0,7,3,1,0,0
36,No,Travel_Frequently,Sales,3,481,Male,3,Sales Executive,4,Married,9699,No,11,1,16,3,13,9,1
57,No,Travel_Rarely,Research & Development,1,482,Male,2,Healthcare Representative,3,Married,6755,No,11,0,15,3,3,2,1
40,No,Travel_Rarely,Research & Development,10,483,Female,1,Laboratory Technician,3,Married,2213,Yes,13,1,10,3,7,7,1
21,No,Non-Travel,Sales,9,484,Male,1,Sales Representative,4,Single,2610,No,24,0,3,2,3,2,2
33,Yes,Travel_Rarely,Sales,5,485,Female,1,Sales Representative,3,Single,2851,Yes,13,0,1,3,1,0,0
37,No,Travel_Rarely,Research & Development,10,486,Female,1,Laboratory Technician,1,Married,3452,No,20,1,17,3,5,4,0
46,No,Non-Travel,Research & Development,7,487,Female,2,Manufacturing Director,3,Married,5258,No,14,0,7,4,1,0,0
41,Yes,Travel_Frequently,Sales,4,488,Male,2,Sales Executive,2,Single,9355,No,18,0,8,3,8,7,7
50,No,Travel_Rarely,Research & Development,10,491,Male,3,Healthcare Representative,4,Single,10496,No,15,0,20,3,4,3,1
40,Yes,Travel_Rarely,Sales,22,492,Male,2,Sales Executive,3,Married,6380,Yes,12,2,8,3,6,4,1
31,No,Travel_Rarely,Research & Development,9,493,Male,1,Research Scientist,2,Single,2657,Yes,16,0,3,3,2,2,2
21,Yes,Travel_Rarely,Sales,12,494,Female,1,Sales Representative,2,Single,2716,No,15,0,1,3,1,0,0
29,No,Travel_Rarely,Research & Development,23,495,Male,1,Research Scientist,4,Single,2201,No,16,0,6,3,3,2,1
35,No,Travel_Rarely,Research & Development,9,496,Male,2,Healthcare Representative,2,Single,6540,No,19,0,10,3,1,1,0
27,No,Travel_Rarely,Research & Development,1,497,Male,1,Laboratory Technician,2,Divorced,3816,No,11,1,5,3,5,2,0
28,No,Travel_Rarely,Sales,9,498,Male,2,Sales Executive,4,Single,5253,No,16,0,7,3,7,5,0
49,No,Travel_Rarely,Research & Development,7,499,Male,3,Healthcare Representative,3,Single,10965,No,24,0,26,3,5,2,0
51,No,Travel_Rarely,Sales,14,500,Female,2,Sales Executive,4,Married,4936,No,11,1,18,2,7,7,0
36,No,Travel_Rarely,Research & Development,2,501,Female,1,Research Scientist,3,Married,2543,No,13,1,6,3,2,2,2
34,Yes,Non-Travel,Sales,19,502,Male,2,Sales Executive,4,Single,5304,Yes,13,0,9,2,5,2,0
55,No,Travel_Rarely,Research & Development,2,505,Female,4,Manager,4,Single,16659,Yes,13,0,30,3,5,4,1
24,No,Travel_Rarely,Sales,10,507,Female,2,Sales Executive,3,Divorced,4260,Yes,12,1,5,4,5,2,0
30,No,Travel_Rarely,Sales,2,508,Male,1,Sales Representative,2,Married,2476,No,18,1,1,3,1,0,0
26,Yes,Travel_Frequently,Research & Development,3,510,Male,1,Research Scientist,1,Single,3102,No,22,0,7,3,6,4,0
22,No,Travel_Rarely,Research & Development,11,511,Female,1,Research Scientist,2,Married,2244,No,13,1,2,3,2,1,1
36,No,Travel_Rarely,Sales,2,513,Male,3,Sales Executive,3,Married,7596,No,13,2,10,3,10,9,9
30,Yes,Travel_Frequently,Research & Development,4,514,Male,1,Research Scientist,4,Single,2285,Yes,23,0,3,3,1,0,0
37,No,Travel_Rarely,Research & Development,14,515,Female,1,Laboratory Technician,1,Divorced,3034,No,12,1,18,2,18,7,12
40,No,Travel_Rarely,Sales,2,516,Female,2,Sales Executive,2,Divorced,5715,No,12,2,8,3,5,4,1
42,No,Travel_Rarely,Research & Development,1,517,Female,1,Laboratory Technician,1,Divorced,2576,No,16,1,8,3,5,2,1
37,No,Travel_Rarely,Research & Development,10,518,Male,2,Manufacturing Director,2,Single,4197,Yes,12,0,18,2,1,0,0
43,No,Travel_Rarely,Research & Development,12,520,Male,4,Research Director,2,Divorced,14336,No,11,1,25,3,25,10,3
40,No,Travel_Rarely,Research & Development,2,521,Female,2,Laboratory Technician,3,Married,3448,No,22,1,20,3,1,0,0
54,No,Travel_Rarely,Research & Development,5,522,Male,5,Research Director,1,Married,19406,No,11,1,24,2,4,2,1
34,No,Non-Travel,Sales,4,523,Female,2,Sales Executive,3,Married,6538,No,15,1,6,3,3,2,1
31,No,Travel_Rarely,Research & Development,7,524,Female,2,Manufacturing Director,1,Married,4306,No,12,1,13,1,13,10,3
43,No,Travel_Frequently,Research & Development,21,525,Male,1,Laboratory Technician,4,Married,2258,No,20,1,8,3,3,2,1
43,No,Travel_Rarely,Research & Development,8,526,Female,2,Healthcare Representative,3,Divorced,4522,Yes,14,0,8,3,5,2,0
25,No,Travel_Rarely,Sales,4,527,Female,2,Sales Executive,4,Single,4487,Yes,11,0,5,3,5,4,1
37,No,Non-Travel,Research & Development,25,529,Female,2,Research Scientist,3,Married,4449,Yes,15,2,15,3,13,11,10
31,No,Travel_Rarely,Research & Development,1,530,Male,1,Laboratory Technician,1,Married,2218,No,12,1,4,3,4,2,3
39,No,Travel_Frequently,Research & Development,1,531,Male,5,Manager,3,Divorced,19197,Yes,14,1,21,3,21,8,1
56,No,Travel_Frequently,Sales,6,532,Female,4,Sales Executive,1,Married,13212,No,11,3,36,2,7,7,7
30,No,Travel_Rarely,Sales,12,533,Female,2,Sales Executive,3,Single,6577,No,11,0,6,3,5,4,4
41,No,Travel_Rarely,Sales,1,534,Male,3,Sales Executive,1,Married,8392,No,16,1,10,3,10,7,0
28,No,Travel_Rarely,Research & Development,17,536,Male,2,Laboratory Technician,1,Divorced,4558,No,12,1,10,3,10,0,1
25,Yes,Travel_Rarely,Research & Development,3,538,Male,1,Laboratory Technician,1,Married,4031,No,13,1,6,3,2,2,0
52,No,Travel_Rarely,Research & Development,3,543,Male,3,Manufacturing Director,3,Married,7969,Yes,14,0,28,3,5,4,0
45,No,Travel_Rarely,Research & Development,10,544,Male,1,Research Scientist,4,Married,2654,No,21,2,8,2,2,2,0
52,No,Travel_Rarely,Research & Development,4,546,Female,4,Manager,4,Married,16555,No,13,0,31,1,5,2,1
42,No,Travel_Frequently,Research & Development,29,547,Female,2,Research Scientist,3,Divorced,4556,No,11,1,19,3,5,4,0
30,No,Travel_Rarely,Research & Development,2,548,Female,2,Manufacturing Director,4,Single,6091,No,20,0,11,3,5,4,0
60,No,Travel_Rarely,Research & Development,7,549,Female,5,Manager,1,Married,19566,No,11,0,33,1,29,8,11
46,No,Travel_Rarely,Research & Development,18,550,Female,2,Manufacturing Director,3,Divorced,4810,No,14,1,19,2,10,7,0
42,No,Travel_Frequently,Research & Development,28,551,Female,2,Healthcare Representative,4,Married,4523,No,11,3,7,4,6,5,0
24,Yes,Travel_Rarely,Sales,1,554,Female,1,Sales Representative,2,Single,3202,Yes,16,0,6,3,5,3,1
34,Yes,Travel_Frequently,Sales,6,555,Female,1,Sales Representative,3,Divorced,2351,No,16,1,3,2,2,2,1
38,No,Travel_Frequently,Research & Development,2,556,Male,1,Laboratory Technician,4,Married,1702,Yes,23,1,1,3,1,0,0
40,No,Travel_Rarely,Sales,2,558,Female,5,Manager,3,Married,18041,No,14,0,21,3,20,15,1
26,No,Travel_Rarely,Research & Development,23,560,Female,1,Research Scientist,4,Divorced,2886,No,22,2,3,1,3,2,0
30,No,Non-Travel,Research & Development,3,562,Male,1,Laboratory Technician,4,Married,2097,No,15,1,9,1,5,3,1
29,No,Travel_Rarely,Research & Development,3,564,Male,3,Research Director,3,Married,11935,No,18,0,10,3,10,2,0
29,Yes,Travel_Rarely,Research & Development,25,565,Female,1,Research Scientist,2,Married,2546,No,16,0,6,4,2,2,1
19,Yes,Travel_Rarely,Human Resources,2,566,Male,1,Human Resources,4,Single,2564,No,12,0,1,4,1,0,0
30,No,Non-Travel,Sales,22,567,Female,3,Sales Executive,1,Married,8412,No,11,0,10,3,9,8,7
57,No,Travel_Rarely,Sales,29,568,Male,4,Manager,4,Divorced,14118,No,12,1,32,2,1,0,0
50,No,Travel_Rarely,Research & Development,29,569,Male,4,Manager,3,Married,17046,No,15,1,28,3,27,10,15
30,No,Non-Travel,Research & Development,2,571,Female,1,Laboratory Technician,4,Single,2564,No,14,0,12,2,11,7,6
60,No,Travel_Frequently,Sales,28,573,Female,3,Sales Executive,1,Married,10266,No,19,0,22,4,18,13,13
47,No,Travel_Rarely,Research & Development,2,574,Female,2,Manufacturing Director,4,Divorced,5070,No,13,3,20,3,5,0,0
46,No,Travel_Rarely,Research & Development,2,575,Male,4,Research Director,3,Married,17861,No,13,0,26,1,3,2,0
35,No,Travel_Rarely,Research & Development,22,577,Male,1,Laboratory Technician,3,Single,4230,No,15,0,6,3,5,4,4
54,No,Travel_Rarely,Research & Development,8,578,Female,2,Laboratory Technician,3,Single,3780,No,11,0,19,3,1,0,0
34,No,Travel_Rarely,Research & Development,2,579,Male,1,Research Scientist,3,Divorced,2768,No,12,1,14,3,7,3,5
46,No,Travel_Rarely,Sales,10,580,Female,3,Sales Executive,4,Married,9071,Yes,19,1,15,3,3,2,1
31,No,Travel_Rarely,Research & Development,9,581,Male,3,Manufacturing Director,2,Divorced,10648,No,25,1,13,4,13,8,0
33,Yes,Travel_Rarely,Research & Development,15,582,Male,3,Manager,3,Married,13610,Yes,12,0,15,4,7,6,7
33,Yes,Travel_Rarely,Research & Development,10,584,Male,1,Laboratory Technician,4,Divorced,3408,No,13,3,8,3,4,3,1
30,No,Travel_Rarely,Sales,7,585,Male,1,Sales Representative,2,Single,2983,No,14,0,4,3,3,2,1
35,No,Travel_Rarely,Research & Development,16,586,Male,3,Healthcare Representative,3,Married,7632,Yes,12,0,10,3,8,7,0
31,Yes,Travel_Frequently,Research & Development,20,587,Male,3,Healthcare Representative,3,Married,9824,No,12,0,12,3,1,0,0
34,Yes,Travel_Frequently,Human Resources,23,590,Female,3,Human Resources,1,Divorced,9950,Yes,15,3,11,3,3,2,0
42,No,Travel_Frequently,Research & Development,5,591,Male,1,Laboratory Technician,3,Married,2093,No,17,1,8,3,2,2,2
36,No,Non-Travel,Sales,10,592,Male,3,Sales Executive,4,Single,9980,No,14,0,10,2,10,3,9
22,Yes,Travel_Frequently,Research & Development,4,593,Male,1,Laboratory Technician,3,Single,3894,No,16,0,4,3,2,2,1
48,No,Travel_Rarely,Sales,2,595,Female,2,Sales Executive,4,Married,4051,No,14,1,14,3,9,7,6
55,No,Travel_Rarely,Sales,18,597,Female,4,Manager,2,Single,16835,No,23,0,37,3,10,9,7
41,No,Non-Travel,Sales,10,599,Male,2,Sales Executive,4,Single,6230,No,14,0,16,3,14,3,1
35,No,Travel_Rarely,Sales,1,600,Male,2,Sales Executive,3,Married,4717,No,11,0,15,3,11,9,6
40,No,Travel_Rarely,Research & Development,6,601,Female,4,Manufacturing Director,3,Single,13237,No,15,0,22,3,20,6,5
39,No,Travel_Frequently,Research & Development,8,602,Female,1,Laboratory Technician,3,Married,3755,No,11,1,8,3,8,3,0
31,No,Travel_Rarely,Sales,2,604,Male,2,Sales Executive,4,Single,6582,Yes,13,0,10,4,6,5,0
42,No,Travel_Rarely,Research & Development,24,605,Male,3,Manufacturing Director,1,Married,7406,Yes,21,1,10,2,10,9,5
45,No,Travel_Rarely,Sales,2,606,Male,2,Sales Executive,2,Married,4805,No,19,1,9,4,8,7,3
26,Yes,Travel_Frequently,Human Resources,17,608,Female,1,Human Resources,3,Divorced,2741,Yes,11,1,8,2,7,7,1
29,No,Travel_Rarely,Research & Development,19,611,Male,2,Manufacturing Director,4,Divorced,4262,No,12,2,8,4,3,2,1
33,No,Travel_Rarely,Research & Development,1,612,Female,4,Research Director,3,Divorced,16184,No,19,1,10,3,6,1,0
31,No,Travel_Rarely,Sales,7,613,Male,3,Manager,4,Divorced,11557,No,21,1,10,2,5,4,0
18,Yes,Travel_Frequently,Sales,5,614,Male,1,Sales Representative,2,Single,1878,Yes,14,0,0,3,0,0,0
